,team,elo_rating,wins,games
327,Lynchburg,1759.9510569836375,19,31
328,Roanoke,1598.9234353636548,17,29
329,Shenandoah,1479.7315671425513,13,27
330,Wis.-Superior,1722.211013427665,24,32
331,Centre,1739.2122709866217,22,28
332,Whittier,1672.5868887351917,19,28
333,La Verne,1892.3202297754756,23,28
334,Schreiner,1491.204887358229,12,27
335,Centenary (LA),1091.1663751564056,1,26
336,Cortland,1971.136298428295,26,31
337,Trinity (TX),1969.0085008609256,24,30
338,UW-River Falls,1512.9275096153326,12,32
339,MUW,1271.5688135798678,5,24
340,Crowley's Ridge,1398.1341449536314,1,4
341,Wis.-La Crosse,1276.163948376779,6,30
342,SUNY Oneonta,1345.3240024861614,9,27
343,Mt. St. Mary (NY),1371.1975652757744,10,29
344,Emory,2066.8203787365933,26,28
345,Greensboro,1646.4313671503414,20,29
346,Crown (MN),1206.0673219989465,7,24
347,Kuyper,1246.1995847798312,0,5
348,North Central (MN),1422.9915605665522,16,26
349,Emmaus,1457.2086632271023,3,5
350,Cairn,1511.234835527532,16,23
351,Penn St.-Abington,1579.6924550732767,21,27
352,Penn St.-Fayette,1366.8357787446616,0,2
353,La Roche,1339.4024920454399,11,22
354,Penn St.-Shenango,1214.0945202326318,0,7
355,Sewanee,1254.5314996121579,4,22
356,Concordia-M'head,1237.4907676011155,2,27
357,Marywood,1347.0591595571827,8,28
358,Cedar Crest,1348.1497290186842,9,26
359,Delaware Valley,1302.2148451479463,8,26
360,Pratt,1228.702239413052,7,23
361,Merchant Marine,1556.6847757005885,19,28
362,Warren Wilson,1237.4798218389326,2,15
363,CarolinaU,1660.3406051527443,7,9
364,North Park,1566.433959873066,13,29
365,Lyon,1552.6890233899196,20,29
366,Principia,1365.7378623557815,0,2
367,LaGrange,1254.4499107165466,8,29
368,Pensacola Christian,1492.8085825951307,1,2
369,Middle Ga. St.,1474.925042354,1,2
370,Curry,1073.8836251324337,1,25
371,Salem St.,1034.1131384938758,2,26
372,Albertus Magnus,1163.6156795079448,13,32
373,Hartford,1383.1449112926757,9,22
374,Anna Maria,1011.8209862462857,2,30
375,Nichols,1428.6447365387858,6,25
376,Roger Williams,1649.1280694809534,17,29
377,Suffolk,1628.1325924075409,23,30
378,Worcester St.,1395.9846752859219,9,28
379,Hunter,1540.11875130174,21,30
380,Sarah Lawrence,1467.5018339232895,17,27
381,Elms,1182.058654905471,4,28
382,Salve Regina,1433.1259423012411,8,26
383,Penn St.-Mont Alto,1378.4900725079697,3,9
384,Mitchell,1311.8018618038625,9,26
385,SUNY Maritime,1263.014689166013,6,26
386,Norwich,1076.87870465918,2,27
387,VTSU-Johnson,1160.7393626305168,8,23
388,VTSU Lyndon,959.9983870787776,0,20
389,Mount Holyoke,1487.8701070292798,13,26
390,IU Columbus,1536.4649066213017,1,1
391,Boyce,1480.5331277645223,1,2
392,East. Mennonite,1317.309876587456,8,25
393,Goucher,1125.445998341887,1,23
394,Rutgers-Newark,1458.4250629467776,13,30
395,Me.-Presque Isle,1218.9965691746288,9,25
396,Cal Lutheran,1573.5428801487906,12,25
397,Rhode Island Col.,1465.5186479982385,13,23
398,Fitchburg St.,1269.828754469475,5,23
399,VTSU Castleton,1299.0216025959717,10,24
400,Hood,1368.2689023880296,9,27
401,Notre Dame (MD),1612.9196940433767,17,27
402,Widener,1524.4014175704247,17,29
403,Ohio Wesleyan,1666.7085452552467,16,28
404,Bethel (MN),1656.8818964440275,20,29
405,Illinois Col.,1494.0663863111774,14,29
406,Blackburn,1334.4317066818264,6,28
407,Randolph,1527.9583349101022,14,28
408,St. Mary's (MD),1674.843148002278,18,29
409,Regent,1340.641604340285,0,4
410,Caltech,1333.6424469083988,6,25
411,LIFE Pacific,1554.2,1,1
412,Westcliff,1373.9082525636672,0,2
413,Saint Michael's,1529.891454857163,2,4
414,Wilson,1219.5052757512801,4,26
415,Penn St.-York,1418.520144889145,1,3
416,Bridgewater St.,1555.9290679519327,13,22
417,Houghton,1471.9636130220806,11,26
418,Graceland (IA),1449.670986272318,0,1
419,Wesleyan (CT),1672.1541197785334,14,25
420,Brooklyn,1373.2587036866632,14,28
421,Yeshiva,1107.043759730443,2,16
422,Colby,1913.9079150641894,24,27
423,Connecticut Col.,1609.4943641088266,15,24
424,Tufts,1787.786324470826,13,24
425,Grambling,1532.2057855275639,1,1
426,Kentucky St.,1459.326709449945,0,1
427,Amherst,1488.886753761417,11,21
428,Trinity (CT),1636.4157336076225,19,25
429,Eureka,1184.2570298148823,4,22
430,Alverno,1070.6202165991795,3,25
431,Andrews,1347.8173730713922,0,3
432,Kent St.-Tuscarawas,1437.6952306082233,0,1
433,Bates,1487.829172550615,10,22
434,Warner Pacific,1423.428026949711,0,2
435,Jarvis Christian,1564.260056293899,1,1
436,Paul Smiths,1268.632465306754,1,6
437,Penn St.-Beaver,1411.3633907837,0,3
438,Medgar Evers,992.8162947010762,1,22
439,York (NY),1103.2296093404104,2,18
440,Purchase,1245.4603163933646,6,21
441,Penn St.-Berks,1375.177590084329,7,23
442,Ramapo,1313.33598335315,4,21
443,Texas-Dallas,1624.4633346084584,8,16
444,Penn St.-Hazleton,1350.2377951090627,3,9
445,Union Commonwealth,1573.0364761902556,1,1
446,Maranatha Baptist,1112.2740830621308,3,29
447,Hamilton,1444.203334826568,5,19
448,Middlebury,1802.0643645276505,16,26
449,Williams,1726.296443171196,13,24
450,Puget Sound,1651.2497709014276,16,24
451,N.C. Wesleyan,1396.831419685977,6,28
452,Southwest (NM),1346.5963408212722,0,4
453,Mission U.,1446.243313772646,0,1
454,Trinity Bible (ND),1334.9963419756693,1,5
455,Faith Bapt. Bible,1448.2626608621847,2,5
456,Huston-Tillotson,1351.792353387696,0,5
457,Rosemont,1138.5666839819082,2,22
458,Tenn. Wesleyan,1571.9350933786984,1,1
459,Tuskegee,1423.0198790933468,1,3
460,Lehman,1110.7317798510865,6,23
461,Mass. Maritime,1118.5867628807162,4,27
462,Cumberlands (KY),1538.0234008213483,1,1
463,Johnson (TN),1531.877469804942,1,1
464,Assumption,1472.2107494044228,0,1
465,Bowdoin,1686.9929111553429,14,23
466,Me.-Fort Kent,1501.49408873374,6,9
467,Simpson (CA),1483.7868541414862,1,2
468,Hope Int'l,1545.649317092034,1,1
469,Bethel (TN),1456.6406751970203,0,1
470,Williams Baptist,1464.6175229619537,0,1
471,Huntington,1564.8544479065272,1,1
472,Clarke,1438.2212716708248,0,1
473,JWU (Charlotte),1312.1840521368958,0,3
474,Agnes Scott,1089.7289414749605,3,23
475,Paine,1630.8693863316748,4,4
476,CCNY,1240.2077155041775,4,18
477,Cheyney,1420.9941328010166,2,6
478,Lesley,1009.4068655037499,0,20
479,Ind.-Southeast,1484.7411403019737,0,1
480,Valley City St.,1523.7444597057734,1,1
481,Grace Christian (MI),1467.1464121737329,2,3
482,Point Park,1412.800680870096,0,2
483,Central Baptist,1429.682603136329,0,2
484,UHSP,1269.3647918355666,0,6
485,William Woods,1519.9989591898627,1,1
486,Virginia Union,1473.5092787143783,1,2
487,Washington Adventist,1429.623664853965,1,4
488,Penn St.-Lehigh Val.,1537.932668549387,1,1
489,Clark Atlanta,1586.0572625882496,2,2
490,Toccoa Falls,1319.8717422225707,1,5
491,Lindsey Wilson,1564.211288692553,1,1
492,Old Westbury,1202.0036106932025,5,20
493,Christendom,1552.2753215948742,1,1
494,La Sierra,1537.6010104702355,1,1
495,Our Lady of the Lake,1567.1552223238373,1,1
496,Trinity Baptist,1422.859383761877,0,1
497,Clinton,1469.1833872008444,0,1
498,Spartanburg Meth.,1521.598838885693,1,1
499,Wesleyan (GA),1057.5158363532219,2,23
500,Fort Valley St.,1564.5098132564572,2,2
501,Madonna,1528.5161007032166,1,1
502,Ohio Christian,1288.9529400351423,0,6
503,West Coast Baptist,1339.7261012625272,0,3
504,Moody Bible,1327.467794573816,3,7
505,Tougaloo,1398.1472365378047,0,2
506,Findlay,1560.336181856376,1,1
507,Brewton-Parker,1547.7729174531394,2,2
508,Trinity (FL),1435.9061803767988,0,1
509,Randall,1470.6141825216228,1,2
510,Welch,1436.3588031754648,1,2
511,Morris,1430.0649066213016,0,1
512,Salem (WV),1473.6792607339855,0,1
513,UC Merced,1552.7693597866585,1,1
514,Providence Christian,1543.028909478896,1,1
515,Ind.-East,1532.136681215136,1,1
516,Northwood,1534.7373082008905,1,1
517,Wiley,1403.6668279875519,0,1
518,Harris-Stowe,1405.1572402691543,0,1
519,Penn St.-Scranton,1479.2542815383345,0,1
520,Mayville St.,1517.8834840068082,1,1
521,Bowie St.,1573.113917692378,1,1
522,Siena Heights,1586.862104538498,2,2
523,Hannibal-La Grange,1436.0605184785138,0,2
524,Western Ore.,1527.0739240781847,1,1
525,Southeastern Okla.,1586.1549472734648,1,1
526,P.R.-Bayamon,1563.8276949420715,2,2
527,Penn St.-New Kens.,1438.7568108133726,0,1
528,Penn St.-Du Bois,1450.5791311766186,0,1
529,Bluefield St.,1540.716806115962,1,1
530,Stephens College,1464.628346970899,0,1
531,Doane,1574.6078207864186,1,1
532,P.R.-Rio Piedras,1552.0437556871905,1,1
533,Mid-Atlantic Christ.,1402.787092077982,0,1
534,Fresno Pacific,1587.753242296267,1,1
535,Great Lake Christian,1508.6064958960126,1,1
536,Ky. Christian,1480.6724888788256,0,1
537,Shaw,1643.2700836094218,3,3
538,St. Ambrose,1463.3620862122268,0,1
539,Jessup,1501.0,0,0
540,Grace (IN),1501.0,0,0
